"ban_w1","ban_w2","ban_change","eo_banimm","eo_banimm_w2","american_identity","amer_id_shift","dem_rep_ind","rep_ind_dem","dem_p","rep_p","partyid","partyid_w2","some_coll_less","education","education_w2","gender","gender_w2","female","age","age_w2","age_r","income","income_w2","income_less_60","white","race","race_w2","vote_trump","trump_app_r","muslim_scale","key_change","eo_keystone","eo_keystone_w2","wall_change","eo_wall","eo_wall_w2","voted_2016","voted_2016_w2","watch_dem_dummy"
3,NA,NA,4,NA,20,NA,3,2,0,0,4,NA,1,2,NA,2,NA,1,1991,NA,25,5,NA,0,1,1,NA,NA,0,15,NA,4,NA,NA,5,NA,4,NA,NA
1,NA,NA,1,NA,12,NA,3,2,0,0,3,NA,1,2,NA,1,NA,0,1980,NA,36,1,NA,1,1,1,NA,NA,0,36,NA,1,NA,NA,1,NA,3,NA,NA
1,NA,NA,1,NA,18,NA,1,3,1,0,1,NA,1,3,NA,1,NA,0,1989,NA,27,2,NA,1,1,1,NA,0,0,42,NA,1,NA,NA,1,NA,1,NA,NA
3,NA,NA,5,NA,20,NA,1,3,1,0,1,NA,1,2,NA,2,NA,1,1967,NA,49,3,NA,1,1,1,NA,1,1,14,NA,5,NA,NA,5,NA,2,NA,NA
2,NA,NA,3,NA,9,NA,2,1,0,1,2,NA,1,3,NA,2,NA,1,1945,NA,71,4,NA,0,0,2,NA,0,1,25,NA,4,NA,NA,2,NA,1,NA,NA
2,NA,NA,3,NA,13,NA,2,1,0,1,2,NA,1,3,NA,1,NA,0,1989,NA,27,4,NA,0,1,1,NA,NA,0,28,NA,2,NA,NA,4,NA,4,NA,NA
3,NA,NA,4,NA,19,NA,NA,NA,0,0,NA,NA,0,4,NA,2,NA,1,1987,NA,29,6,NA,0,1,1,NA,1,1,NA,NA,4,NA,NA,5,NA,2,NA,NA
3,NA,NA,5,NA,20,NA,2,1,0,1,2,NA,1,1,NA,2,NA,1,1950,NA,66,3,NA,1,1,1,NA,1,1,16,NA,5,NA,NA,5,NA,2,NA,NA
1,NA,NA,1,NA,16,NA,1,3,1,0,1,NA,1,3,NA,2,NA,1,1983,NA,33,2,NA,1,1,1,NA,0,0,37,NA,3,NA,NA,1,NA,1,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,NA,NA,1,NA,15,NA,3,2,0,0,4,NA,1,2,NA,1,NA,0,1995,NA,21,2,NA,1,0,4,NA,NA,0,40,NA,3,NA,NA,1,NA,4,NA,NA
1,NA,NA,2,NA,13,NA,3,2,0,0,3,NA,1,2,NA,1,NA,0,1977,NA,39,4,NA,0,1,1,NA,NA,0,41,NA,1,NA,NA,2,NA,4,NA,NA
1,NA,NA,1,NA,10,NA,1,3,1,0,1,NA,1,3,NA,2,NA,1,1979,NA,37,5,NA,0,0,2,NA,NA,0,33,NA,1,NA,NA,2,NA,4,NA,NA
3,NA,NA,5,NA,19,NA,1,3,1,0,1,NA,0,4,NA,2,NA,1,1981,NA,35,6,NA,0,1,1,NA,1,1,36,NA,4,NA,NA,2,NA,2,NA,NA
3,NA,NA,4,NA,20,NA,2,1,0,1,2,NA,1,1,NA,2,NA,1,1983,NA,33,4,NA,0,1,1,NA,NA,1,36,NA,3,NA,NA,3,NA,4,NA,NA
1,NA,NA,1,NA,11,NA,1,3,1,0,1,NA,1,3,NA,2,NA,1,1993,NA,23,NA,NA,0,1,1,NA,0,0,37,NA,1,NA,NA,3,NA,1,NA,NA
3,NA,NA,4,NA,10,NA,3,2,0,0,4,NA,1,2,NA,2,NA,1,1992,NA,24,3,NA,1,1,1,NA,NA,1,38,NA,1,NA,NA,2,NA,4,NA,NA
1,NA,NA,1,NA,10,NA,1,3,1,0,1,NA,1,3,NA,1,NA,0,1989,NA,27,2,NA,1,1,1,NA,0,0,40,NA,1,NA,NA,1,NA,1,NA,NA
1,NA,NA,1,NA,20,NA,2,1,0,1,2,NA,1,2,NA,1,NA,0,1989,NA,27,1,NA,1,1,1,NA,1,1,35,NA,3,NA,NA,1,NA,2,NA,NA
1,NA,NA,1,NA,16,NA,1,3,1,0,1,NA,0,4,NA,1,NA,0,1984,NA,32,5,NA,0,1,1,NA,0,0,42,NA,1,NA,NA,1,NA,1,NA,NA
3,NA,NA,5,NA,16,NA,1,3,1,0,1,NA,1,1,NA,1,NA,0,1981,NA,35,2,NA,1,1,1,NA,1,1,27,NA,2,NA,NA,5,NA,2,NA,NA
3,NA,NA,5,NA,15,NA,2,1,0,1,2,NA,1,3,NA,2,NA,1,1961,NA,55,3,NA,1,1,1,NA,1,1,26,NA,5,NA,NA,4,NA,2,NA,NA
NA,NA,NA,NA,NA,13,NA,NA,NA,0,0,NA,NA,1,3,NA,1,NA,0,1989,NA,27,2,NA,1,0,4,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
